"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"pp_fs","Integer","","Recommended","Do you have any full siblings?","0;1","0=No; 1=Yes",""
"pp_hs","Integer","","Recommended","Do you have any half siblings?","0;1","0=No; 1=Yes",""
"pp_gc","Integer","","Recommended","Do you have any grandchildren?","0;1","0=No; 1=Yes",""
"pp_au","Integer","","Recommended","Do you have any aunts or uncles?","0;1","0=No; 1=Yes",""
"pp_c","Integer","","Recommended","Do you have any cousins?","0;1","0=No; 1=Yes",""
"pp_nn","Integer","","Recommended","Do you have any nieces or nephews?","0;1","0=No; 1=Yes",""
"pp_scsp","Integer","","Recommended","Do you have any stepchildren or stepparents?","0;1","0=No; 1=Yes",""
"pc_fs","Integer","","Recommended","Does [child] have any full siblings?","0;1","0=No; 1=Yes",""
"pc_hs","Integer","","Recommended","Does [child] have any half siblings?","0;1","0=No; 1=Yes",""
"pp_cp","Integer","","Recommended","Is [child]'s other biological parent your current partner?","0;1","0=No; 1=Yes",""
"pp_single","Integer","","Recommended","Do you currently have a partner?","0;1","0=No; 1=Yes",""
"sh_pp","Integer","","Recommended","[Parent's] suicidal history","0::2;999","0=No History; 1=Attempt; 2=Death by Suicide; 999=Don't Know/Unknown",""
"sh_pp_age","String","1000","Recommended","[Parent's] age at attempt/death","","",""
"sh_pp_method","String","1000","Recommended","[Parent's] method of attempt/death","","",""
"sh_mom","Integer","","Recommended","Does your biological mother have a history of suicide attempt or death by suicide?","0::2;999","0=No History; 1=Attempt; 2=Death by Suicide; 999=Don't Know/Unknown",""
"sh_mom_age","String","1000","Recommended","How old was your mother at the time of her attempt/death?","","",""
"sh_mom_method","String","1000","Recommended","Please describe your Mother's method of attempt/death.","","",""
"sh_pp_age_mom","String","1000","Recommended","How old were you when you were informed of your Mother's attempt/death?","","",""
"sh_dad","Integer","","Recommended","Does your biological Father have a history of suicide attempt or death by suicide?","0::2;999","0=No History; 1=Attempt; 2=Death by Suicide; 999=Don't Know/Unknown",""
"sh_dad_age","String","1000","Recommended","How old was your father at the time of his attempt/death?","","",""
"sh_dad_method","String","1000","Recommended","Please describe your Father's method of attempt/death.","","",""
"sh_pp_age_dad","String","1000","Recommended","How old were you when you were informed of your Father's attempt/death?","","",""
"sh_pc","Integer","","Recommended","Does [child] have a history of suicide attempt or death by suicide?","0::2;999","0=No History; 1=Attempt; 2=Death by Suicide; 999=Don't Know/Unknown",""
"sh_pc_age","String","1000","Recommended","How old was [child] at the time of their attempt/death?","","",""
"sh_pc_method","String","1000","Recommended","Please describe [child]'s method of attempt/death.","","",""
"sh_pp_age_pc","String","1000","Recommended","How old were you when you were informed of [child]'s attempt/death?","","",""
"sh_pc_sib","Integer","","Recommended","Do any of [child]'s full siblings have a history of suicide attempt or death by suicide?","0::2;999","0=No History; 1=Attempt; 2=Death by Suicide; 999=Don't Know/Unknown",""
"sh_pc_sib_rel","String","1000","Recommended","Relation with suicidal history- [child]'s brother(s) or sister(s)?","","",""
"sh_pc_sib_age","String","1000","Recommended","Sibling(s) age(s) at attempt/death","","",""
"sh_pc_sib_method","String","1000","Recommended","Sibling(s) method(s) of attempt/death","","",""
"sh_pp_age_pcsib","String","1000","Recommended","How old were you when you were informed of [child]'s sibling(s) attempt/death?","","",""
"sh_pc_half","Integer","","Recommended","Do any of [child]'s half-siblings have a history of suicide attempt or death by suicide?","0::2;999","0=No History; 1=Attempt; 2=Death by Suicide; 999=Don't Know/Unknown",""
"sh_pc_half_rel","String","1000","Recommended","Relation with suicidal history - [child]'s half-brother(s) or half-sister(s)?","","",""
"sh_pc_half_matpat","Integer","","Recommended","[child]'s half-sibling(s) with suicidal history - maternal or paternal?","1;2;999","1=Maternal; 2=Paternal; 999=Don't know/unsure",""
"sh_pc_half_age","String","1000","Recommended","[child]'s Half-sibling(s) age(s) at attempt/death","","",""
"sh_pc_half_method","String","1000","Recommended","[child]'s Half-sibling(s) method(s) of attempt/death","","",""
"sh_pp_pchalf_age","String","1000","Recommended","How old were you when you were informed of the half-sibling(s) attempt/death?","","",""
"sh_sib","Integer","","Recommended","Do any of your full siblings have a history of suicide attempt or death by suicide?","0::2;999","0=No History; 1=Attempt; 2=Death by Suicide; 999=Don't Know/Unknown",""
"sh_sib_rel","String","1000","Recommended","Relation with suicidal history - [parent]'s brother(s) or sister(s)?","","",""
"sh_sib_age","String","1000","Recommended","[parent]'s Sibling(s) age(s) at attempt/death","","",""
"sh_sib_method","String","1000","Recommended","[parent]'s sibling(s) method(s) of attempt/death","","",""
"sh_pp_age_sib","String","1000","Recommended","How old were you when you were informed of your sibling(s) attempt/death?","","",""
"sh_half","Integer","","Recommended","Do any of your half-siblings have a history of suicide attempt or death by suicide? (if applicable)","0::2;999","0=No History; 1=Attempt; 2=Death by Suicide; 999=Don't Know/Unknown",""
"sh_half_rel","String","1000","Recommended","Relation with suicidal history - [parent]'s half-brother(s) or half-sister(s)?","","",""
"sh_half_matpat","Integer","","Recommended","[parent]'s half-sibling(s) - maternal or paternal?","1;2;999","1=Maternal; 2=Paternal; 999=Don't know/unsure",""
"sh_half_age","String","1000","Recommended","[parent]'s Half-sibling(s) age(s) at attempt/death","","",""
"sh_half_method","String","1000","Recommended","[parent]'s Half-sibling(s) method(s) of attempt/death","","",""
"sh_pp_age_half","String","1000","Recommended","How old were you when you were informed of your half- sibling(s) attempt/death?","","",""
"sh_gp","Integer","","Recommended","Do any of your biological grandparents have a history of suicide attempt or death by suicide?","0::2;999","0=No History; 1=Attempt; 2=Death by Suicide; 999=Don't Know/Unknown",""
"sh_gp_rel","String","1000","Recommended","Relation with suicidal history - [parent]'s grandmother(s) or grandfather(s)?","","",""
"sh_gp_matpat","Integer","","Recommended","[parent]'s grandparent(s) - maternal or paternal?","1;2;999","1=Maternal; 2=Paternal; 999=Don't know/unsure",""
"sh_gp_age","String","1000","Recommended","[parent]'s Grandparent(s) age(s) at attempt/death","","",""
"sh_gp_method","String","1000","Recommended","[parent]'s Grandparent(s) method(s) of attempt/death","","",""
"sh_pp_age_gp","String","1000","Recommended","How old were you when you were informed of your grandparent(s) attempt/death?","","",""
"sh_gc","Integer","","Recommended","Do any of your grandchildren have a history of suicide attempt or death by suicide?","0::2;999","0=No History; 1=Attempt; 2=Death by Suicide; 999=Don't Know/Unknown",""
"sh_gc_rel","String","1000","Recommended","Relation with suicidal history - [parent]'s grandson(s) or granddaughter(s)?","","",""
"sh_gc_age","String","1000","Recommended","[parent]'s Grandchild(ren)(s) age(s) at attempt/death","","",""
"sh_gc_method","String","1000","Recommended","[parent]'s Grandchild(ren)(s) method(s) of attempt/death","","",""
"sh_pp_age_gc","String","1000","Recommended","How old were you when you were informed of your grandchild(ren)(s) attempt/death?","","",""
"sh_au","Integer","","Recommended","Do any of your aunts/uncles have a history of suicide attempt or death by suicide?","0::2;999","0=No History; 1=Attempt; 2=Death by Suicide; 999=Don't Know/Unknown",""
"sh_au_rel","String","1000","Recommended","Relation with suicidal history - [parent]'s aunt(s) or uncle(s)?","","",""
"sh_au_matpat","Integer","","Recommended","[parent]'s aunt/uncle - maternal or paternal?","1;2;999","1=Maternal; 2=Paternal; 999=Don't know/unsure",""
"sh_au_age","String","1000","Recommended","[parent]'s Aunt/uncle(s) age(s) at attempt/death","","",""
"sh_au_method","String","1000","Recommended","[parent]'s Aunt/uncle(s) method(s) of attempt/death","","",""
"sh_pp_age_au","String","1000","Recommended","How old were you when you were informed of your aunt/uncle(s) attempt/death?","","",""
"sh_cous","Integer","","Recommended","Do any of your cousins have a history of suicide attempt or death by suicide?","0::2;999","0=No History; 1=Attempt; 2=Death by Suicide; 999=Don't Know/Unknown",""
"sh_cous_rel","String","1000","Recommended","Relation with suicidal history - [parent]'s cousin male or female?","","",""
"sh_cous_matpat","Integer","","Recommended","[parent]'s cousin(s) - maternal or paternal?","1;2;999","1=Maternal; 2=Paternal; 999=Don't know/unsure",""
"sh_cous_age","String","1000","Recommended","[parent]'s Cousin(s) age(s) at attempt/death","","",""
"sh_cous_method","String","1000","Recommended","[parent]'s Cousin(s) method(s) of attempt/death","","",""
"sh_pp_age_cous","String","1000","Recommended","How old were you when you were informed of your cousin(s) attempt/death?","","",""
"sh_nn","Integer","","Recommended","Do any of your nieces/nephews have a history of suicide attempt or death by suicide?","0::2;999","0=No History; 1=Attempt; 2=Death by Suicide; 999=Don't Know/Unknown",""
"sh_nn_rel","String","1000","Recommended","Relation with suicidal history - [parent]'s niece/nephew male or female?","","",""
"sh_nn_matpat","String","1000","Recommended","[parent]'s niece(s)/nephew(s) - maternal or paternal?","1;2;999","1=Maternal; 2=Paternal; 999=Don't know/unsure",""
"sh_nn_age","String","1000","Recommended","[parent]'s Niece/nephew(s) age(s) at attempt/death","","",""
"sh_nn_method","String","1000","Recommended","[parent]'s Niece/nephew(s) method(s) of attempt/death","","",""
"sh_pp_age_nn","String","1000","Recommended","How old were you when you were informed of your niece/nephew(s) attempt/death?","","",""
"sh_pc_obp","Integer","","Recommended","Does [child]'s other biological parent have a history of suicide attempt or death by suicide?","0::2;999","0=No History; 1=Attempt; 2=Death by Suicide; 999=Don't Know/Unknown",""
"sh_pc_obp_age","String","1000","Recommended","[child]'s Other biological parent's age(s) at attempt/death","","",""
"sh_pc_obp_method","String","1000","Recommended","[child]'s Other bio parent's method(s) of attempt/death","","",""
"sh_pp_age_pcobp","String","1000","Recommended","How old were you when you were informed of [child]'s other biological parent's attempt/death?","","",""
"sh_obpfm","Integer","","Recommended","Do any of [child]'s other biological parent's family members have a history of suicide attempt or death by suicide?","0::2;999","0=No History; 1=Attempt; 2=Death by Suicide; 999=Don't Know/Unknown",""
"sh_obpfm_rel","String","1000","Recommended","[child]'s Other biological parent's family member(s) relation: gender (i.e., participating child's aunt, bio parent's mom, etc.)","","",""
"sh_obpfm_age","String","1000","Recommended","[child]'s Other biological parent's family member(s) age at attempt/death","","",""
"sh_obpfm_method","String","1000","Recommended","[child]'s Other biological parent's family member(s) method of attempt/death","","",""
"sh_pp_age_obpfm","String","1000","Recommended","How old were you when you were informed of [child]'s other bio parent's family member(s) attempt/death?","","",""
"sh_cp","Integer","","Recommended","Does your current partner have a history of suicide attempt or death by suicide?","0::2;999","0=No History; 1=Attempt; 2=Death by Suicide; 999=Don't Know/Unknown",""
"sh_cp_rel","String","1000","Recommended","Relation to [parent] - boyfriend or girlfriend (or other gender ID)","","",""
"sh_cp_age","String","1000","Recommended","Current partner's age(s) at attempt/death","","",""
"sh_cp_method","String","1000","Recommended","Current partner's method(s) of attempt/death","","",""
"sh_pp_age_cp","String","1000","Recommended","How old were you when you were informed of your current partner's attempt/death?","","",""
"sh_cpfm","Integer","","Recommended","Do any of your current partner's family members have a history of suicide attempt or death by suicide?","0::2;999","0=No History; 1=Attempt; 2=Death by Suicide; 999=Don't Know/Unknown",""
"sh_cpfm_rel","String","1000","Recommended","Relation with suicidal history - i.e., current partner's grandma, brother, aunt, etc.","","",""
"sh_cpfm_age","String","1000","Recommended","Current partner's family member(s) age(s) at attempt/death","","",""
"sh_cpfm_method","String","1000","Recommended","Current partner's family member(s) method(s) of attempt/death","","",""
"sh_pp_age_cpfm","String","1000","Recommended","How old were you when you found out about [current partner's family member(s)] attempt/death?","","",""
"sh_step","Integer","","Recommended","Does your stepchild/stepparent have a history of suicide attempt or death by suicide?","0::2;999","0=No History; 1=Attempt; 2=Death by Suicide; 999=Don't Know/Unknown",""
"sh_step_rel","String","1000","Recommended","Relation with suicidal history - [parent]'s stepfather/stepfather, stepdaughter/stepson","","",""
"sh_step_age","String","1000","Recommended","[parent]'s Stepchild's/Stepparent's age at attempt/death","","",""
"sh_step_method","String","1000","Recommended","[parent]'s Stepchild's/Stepparent's method of attempt/death","","",""
"sh_pp_age_step","String","1000","Recommended","How old were you when you were informed of your stepchild's/stepparent's attempt/death?","","",""
"sh_friend","Integer","","Recommended","Do any of your friends have a history of suicide attempt or death by suicide?","0::2;999","0=No History; 1=Attempt; 2=Death by Suicide; 999=Don't Know/Unknown",""
"sh_friend_rel","String","1000","Recommended","[parent]'s Friend's gender - boy/girl, male/female, etc.","","",""
"sh_friend_age","String","1000","Recommended","[parent]'s Friend's age at attempt/death","","",""
"sh_friend_method","String","1000","Recommended","[parent]'s Friend's method of attempt/death","","",""
"sh_pp_age_friend","String","1000","Recommended","How old were you when you found out about your friend's attempt/death?","","",""
"sh_other","Integer","","Recommended","Does anyone else in your life that we have not yet talked about have a history of suicide attempt or death by suicide? Some examples include: co-worker, neighbor, etc.","0::2;999","0=No History; 1=Attempt; 2=Death by Suicide; 999=Don't Know/Unknown",""
"sh_other_rel","String","1000","Recommended","[parent]'s Relation of ''other'' person with suicidal history - i.e., neighbor, co-worker, etc. & gender","","",""
"sh_other_matpat","Integer","","Recommended","'Other'' person - maternal or paternal (if applicable)","1;2;999","1=Maternal; 2=Paternal; 999=Don't know/unsure",""
"sh_other_age","String","1000","Recommended","'Other'' person's age at attempt/death","","",""
"sh_other_method","String","1000","Recommended","'Other'' person's method of attempt/death","","",""
"sh_pp_age_other","String","1000","Recommended","How old were you when you were informed of [Other's] attempt/death?","","",""
"psych_pp","Integer","","Recommended","Have you been diagnosed with any psychiatric illnesses?","1::8;999","1=No Psychiatric Disorder; 2=Unipolar Depression; 3=Bipolar Depression; 4=Psychotic Disorder; 5=Substance Use Disorder; 6=Anxiety Depression; 7=Unknown Disorder; 8=Other Diagnosis; 999=Don't know/Unknown",""
"psych_pp_other_desc","String","1000","Recommended","Other Diagnosis (self)- Description","","",""
"psych_pp_depress_meds","Integer","","Recommended","Are you taking medication for your depression?","0;1","0=No; 1=Yes",""
"psych_pp_depress_notes","String","1000","Recommended","[parent] Unipolar Depression","","",""
"psych_pp_bipolar_meds","Integer","","Recommended","Are you taking medication for bipolar disorder?","0;1","0=No; 1=Yes",""
"psych_pp_bipolar_notes","String","1000","Recommended","[parent] Bipolar Disorder","","",""
"psych_pp_psych_meds","Integer","","Recommended","Are you taking medication for psychotic disorder?","0;1","0=No; 1=Yes",""
"psych_pp_psych_notes","String","1000","Recommended","[parent] Psychotic Disorder","","",""
"psych_pp_sud_meds","Integer","","Recommended","Are you taking medication for substance use disorder?","0;1","0=No; 1=Yes",""
"psych_pp_sud_notes","String","1000","Recommended","[parent] Substance Use Disorder","","",""
"psych_pp_anxiety_meds","Integer","","Recommended","Are you taking medication for your anxiety disorder(s)?","0;1","0=No; 1=Yes",""
"psych_pp_anxiety_notes","String","1000","Recommended","[parent]� Anxiety Disorders","","",""
"psych_pp_unknown_meds","Integer","","Recommended","Are you taking medication for your unknown disorder?","0;1","0=No; 1=Yes",""
"psych_pp_unknown_notes","String","1000","Recommended","[parent]� Unknown Disorder","","",""
"psych_pp_other_meds","Integer","","Recommended","Are you taking medication for your other diagnosis(es)?","0;1","0=No; 1=Yes",""
"psych_pp_other_notes","String","1000","Recommended","[parent] Other Diagnosis(es)","","",""
"psych_mom","Integer","","Recommended","Has your biological mother been diagnosed with any psychiatric illnesses?","1::8;999","1=No Psychiatric Disorder; 2=Unipolar Depression; 3=Bipolar Depression; 4=Psychotic Disorder; 5=Substance Use Disorder; 6=Anxiety Depression; 7=Unknown Disorder; 8=Other Diagnosis; 999=Don't know/Unknown",""
"psych_mom_other_desc","String","1000","Recommended","Other Diagnosis (Biological Mother) - Description","","",""
"psych_mom_depress_notes","String","1000","Recommended","[parent]'s Biological Mother Unipolar Depression","","",""
"psych_mom_bipolar_notes","String","1000","Recommended","[parent] 's Biological Mother Bipolar Disorder","","",""
"psych_mom_psych_notes","String","1000","Recommended","[parent] 's Biological Mother Psychotic Disorder","","",""
"psych_mom_sud_notes","String","1000","Recommended","[parent]'s Biological Mother Substance Use Disorder","","",""
"psych_mom_anxiety_notes","String","1000","Recommended","[parent]'s Biological Mother Anxiety Disorders","","",""
"psych_mom_unknown_notes","String","1000","Recommended","[parent]'s Biological Mother Unknown Disorder","","",""
"psych_mom_other_notes","String","1000","Recommended","[parent]'s Biological Mother Other Diagnosis","","",""
"psych_dad","Integer","","Recommended","Has your biological father been diagnosed with any psychiatric illnesses?","1::8;999","1=No Psychiatric Disorder; 2=Unipolar Depression; 3=Bipolar Depression; 4=Psychotic Disorder; 5=Substance Use Disorder; 6=Anxiety Depression; 7=Unknown Disorder; 8=Other Diagnosis; 999=Don't know/Unknown",""
"psych_dad_other_desc","String","1000","Recommended","Other Diagnosis (Biological Father)- Description","","",""
"psych_dad_depress_notes","String","1000","Recommended","[parent]'s Biological Father Unipolar Depression","","",""
"psych_dad_bipolar_notes","String","1000","Recommended","[parent]'s Biological Father Bipolar Disorder","","",""
"psych_dad_psych_notes","String","1000","Recommended","[parent]'s Biological Father Psychotic Disorder","","",""
"psych_dad_sud_notes","String","1000","Recommended","[parent]'s Biological Father Substance Use Disorder","","",""
"psych_dad_anxiety_notes","String","1000","Recommended","[parent]'s Biological Father Anxiety Disorders","","",""
"psych_dad_unknown_notes","String","1000","Recommended","[parent]'s Biological Father Unknown Disorder","","",""
"psych_dad_other_notes","String","1000","Recommended","[parent]'s Biological Father Other Diagnosis","","",""
"psych_pc","Integer","","Recommended","Has [child] been diagnosed with any psychiatric illnesses?","1::8;999","1=No Psychiatric Disorder; 2=Unipolar Depression; 3=Bipolar Depression; 4=Psychotic Disorder; 5=Substance Use Disorder; 6=Anxiety Depression; 7=Unknown Disorder; 8=Other Diagnosis; 999=Don't know/Unknown",""
"psych_pc_other_desc","String","1000","Recommended","Other Diagnosis (Child)- Description","","",""
"psych_pc_depress_meds","Integer","","Recommended","Is [child] currently taking medication for their depression?","0;1","0=No; 1=Yes",""
"psych_pc_depress_notes","String","1000","Recommended","[child]'s Unipolar Depression","","",""
"psych_pc_bipolar_meds","Integer","","Recommended","Is [child] currently taking medication for bipolar disorder?","0;1","0=No; 1=Yes",""
"psych_pc_bipolar_notes","String","1000","Recommended","[child]'s Bipolar Disorder","","",""
"psych_pc_psych_meds","Integer","","Recommended","Is [child] currently taking medication for psychotic disorder?","0;1","0=No; 1=Yes",""
"psych_pc_psych_notes","String","1000","Recommended","[child]'s Psychotic Disorder","","",""
"psych_pc_sud_meds","Integer","","Recommended","Is [child] currently taking medication for their substance use disorder(s)?","0;1","0=No; 1=Yes",""
