"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"cbqa_ex","Integer","","Recommended","Has the person ever shown self-injurious behavior? (e.g. head banging, head-punching or slapping, removing hair, self-scratching, body hitting, eye poking or pressing).","0;1","0=No; 1=Yes",""
"cbq1_ex","Integer","","Recommended","Has the person shown self-injurious behavior in the last month? (e.g. head banging, head-punching or slapping, removing hair, self-scratching, body hitting, eye poking or pressing).","0;1","0=No; 1=Yes",""
"cbq1_1_ex_1","Integer","","Recommended","Place a tick next to the items in the following list of self-injurious behaviors, which the person displays in a repetitive manner (repeats the same movement/ behavior twice or more in succession): Hits self with body part (e.g., slaps head or face)","0;1","0=No/Unchecked; 1=Yes/Checked",""
"cbq1_1_ex_2","Integer","","Recommended","Place a tick next to the items in the following list of self-injurious behaviors, which the person displays in a repetitive manner (repeats the same movement/ behavior twice or more in succession): Hits self against surface or object (e.g., bands head on floor or table)","0;1","0=No/Unchecked; 1=Yes/Checked",""
"cbq1_1_ex_3","Integer","","Recommended","Place a tick next to the items in the following list of self-injurious behaviors, which the person displays in a repetitive manner (repeats the same movement/ behavior twice or more in succession): Hits self with object","0;1","0=No/Unchecked; 1=Yes/Checked",""
"cbq1_1_ex_4","Integer","","Recommended","Place a tick next to the items in the following list of self-injurious behaviors, which the person displays in a repetitive manner (repeats the same movement/ behavior twice or more in succession): Bites self (e.g., bites hand on wrist or arm)","0;1","0=No/Unchecked; 1=Yes/Checked",""
"cbq1_1_ex_5","Integer","","Recommended","Place a tick next to the items in the following list of self-injurious behaviors, which the person displays in a repetitive manner (repeats the same movement/ behavior twice or more in succession): Pulls (e.g., pulls hair or skin)","0;1","0=No/Unchecked; 1=Yes/Checked",""
"cbq1_1_ex_6","Integer","","Recommended","Place a tick next to the items in the following list of self-injurious behaviors, which the person displays in a repetitive manner (repeats the same movement/ behavior twice or more in succession): Rubs or scratches self (e.g., rub marks on arm or leg)","0;1","0=No/Unchecked; 1=Yes/Checked",""
"cbq1_1_ex_7","Integer","","Recommended","Place a tick next to the items in the following list of self-injurious behaviors, which the person displays in a repetitive manner (repeats the same movement/ behavior twice or more in succession): Inserts finger or objects (e.g., eye poking)","0;1","0=No/Unchecked; 1=Yes/Checked",""
"cbq1_1_ex_8","Integer","","Recommended","Place a tick next to the items in the following list of self-injurious behaviors, which the person displays in a repetitive manner (repeats the same movement/ behavior twice or more in succession): Other form of self-injury","0;1","0=No/Unchecked; 1=Yes/Checked",""
"cbq1_1_specify_ex","String","500","Recommended","If other form of self-injury is checked, please specify here.","","",""
"cbq1_2_ex","Integer","","Recommended","In the last month, for how long did the episode or burst of this self-injurious behavior last? (Please select one option)","1::5","1=Less than a minute; 2=Less than 5 minutes; 3=Less than 15 minutes; 4=Less than an hour; 5=More than an hour",""
"cbq1_3_ex","Integer","","Recommended","In the last month as a result of this self-injurious behavior, has physical contact or prevention or restraint by others been necessary (e.g., blocking, taking objects from an individual, temporary restraint of an arm)? (Please select one option)","0::4","0=Never; 1=At least once a month; 2=At least once a week; 3=At least once a day; 4=At least once an hour",""
"cbq1_4_ex","Integer","","Recommended","Think about how often this self-injurious behavior occurred in the last month. If there was no change and you watched the person now, then would you definitely see the behavior:","1::5","1=By this time next month; 2=By this time next week; 3=By this time tomorrow; 4=In the next hour; 5=In the next 15 minutes",""
"cbqb_ex","Integer","","Recommended","Has the person ever shown aggression? (e.g. punching, pushing, kicking, pulling hair, grabbing other's clothing).","0;1","0=No; 1=Yes",""
"cbq2_ex","Integer","","Recommended","Has the person shown aggression in the last month? (e.g. punching, pushing, kicking, pulling hair, grabbing other's clothing).","0;1","0=No; 1=Yes",""
"cbq2_1_ex_1","Integer","","Recommended","Place a tick next to items in the following list of aggressive behaviors which the person displays: Hits other with body party (e.g., slapping, punching, kicking, head-butting)","0;1","0=No/Unchecked; 1=Yes/Checked",""
"cbq2_1_ex_2","Integer","","Recommended","Place a tick next to items in the following list of aggressive behaviors which the person displays: Hits other with an object (e.g., throwing object or using as weapon)","0;1","0=No/Unchecked; 1=Yes/Checked",""
"cbq2_1_ex_3","Integer","","Recommended","Place a tick next to items in the following list of aggressive behaviors which the person displays: Bites other","0;1","0=No/Unchecked; 1=Yes/Checked",""
"cbq2_1_ex_4","Integer","","Recommended","Place a tick next to items in the following list of aggressive behaviors which the person displays: Pulls or grabs other (e.g., hair-pulling, grabbing clothing)","0;1","0=No/Unchecked; 1=Yes/Checked",""
"cbq2_1_ex_5","Integer","","Recommended","Place a tick next to items in the following list of aggressive behaviors which the person displays: Rubs, pinches or scratches other","0;1","0=No/Unchecked; 1=Yes/Checked",""
"cbq2_1_ex_6","Integer","","Recommended","Place a tick next to items in the following list of aggressive behaviors which the person displays: Spits at other","0;1","0=No/Unchecked; 1=Yes/Checked",""
"cbq2_1_ex_7","Integer","","Recommended","Place a tick next to items in the following list of aggressive behaviors which the person displays: Verbal aggression (e.g., threatening, swearing)","0;1","0=No/Unchecked; 1=Yes/Checked",""
"cbq2_1_ex_8","Integer","","Recommended","Place a tick next to items in the following list of aggressive behaviors which the person displays: Other form of physical aggression","0;1","0=No/Unchecked; 1=Yes/Checked",""
"cbq2_1_specify_ex","String","500","Recommended","If other form of aggression is checked, please specify here.","","",""
"cbq2_2_ex","Integer","","Recommended","In the last month, for how long did the episode or burst of this aggressive behavior last? (Please select one option)","1::5","1=Less than a minute; 2=Less than 5 minutes; 3=Less than 15 minutes; 4=Less than an hour; 5=More than an hour",""
"cbq2_3_ex","Integer","","Recommended","In the last month as a result of this aggressive behavior, has physical contact or prevention or restraint by others been necessary (e.g., blocking, taking objects from an individual, temporary restraint of an arm)? (Please select one option)","0::4","0=Never; 1=At least once a month; 2=At least once a week; 3=At least once a day; 4=At least once an hour",""
