"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","guid"
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","record_id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","fake_interview_date"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","fake_age_in_months"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime","timepoint_vitaa"
"concep01","Integer","","Recommended","Contraception is only for adult married persons.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"concep02","Integer","","Recommended","Adolescents who use contraceptives are considered bad.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"concep03","Integer","","Recommended","My parents would punish me if they found me with contraceptives.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"concep04","Integer","","Recommended","Using a condom is a way of expressing responsibility for my partner and myself.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"concep05","Integer","","Recommended","It is okay for a girl to suggest condom use to a sexual partner.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"concep06","Integer","","Recommended","It is okay for girls my age to carry condoms if they plan to have sex.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"concep07","Integer","","Recommended","It is okay for boys my age to carry condoms if they plan to have sex.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"concep08","Integer","","Recommended","If I had sex, I would be able to make sure that I use a condom even if my partner does not want to use one.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"concep09","Integer","","Recommended","I would be able to refuse to have sex if my partner did not want me to use a condom.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"concep10","Integer","","Recommended","I would be able to start a conversation about using condoms with my partner.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"concep11","Integer","","Recommended","I am able to use a condom correctly.","1::5","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree",""
"concep12","Integer","","Recommended","Imagine that you were about to have sexual intercourse, how likely is it that you would use a condom?","1::5","1=Very unlikely; 2=Unlikely; 3=Neutral; 4=Likely; 5=Very likely",""
"concep_adult_yn","Integer","","Recommended","If needed, do you have a trusted adult who could help you access contraception now or in the future?","0;1;666;888","0=No; 1=Yes; 666=Don't know; 888=Refused",""
"concep_get_know","Integer","","Recommended","Do you know of a place where an adolescent can get other types of contraception?","0;1;888","0=No; 1=Yes; 888=Refused",""
"concep_get_self","Integer","","Recommended","If you wanted to, could you get your contraceptive method of choice?","0;1;666;777;888","0=No; 1=Yes; 666=Don't know; 777= I don't have a contraceptive method of choice; 888=Refused",""
"condom_get_know","Integer","","Recommended","Do you know of a place an adolescent can get condoms?","0;1;888","0=No; 1=Yes; 888=Refused",""
"condom_get_self","Integer","","Recommended","If you wanted to, could you get yourself a condom?","0;1;666;888","0=No; 1=Yes; 666=Don't know; 888=Refused",""
"preg_how_yn_2","Integer","","Recommended","Do you know how people get pregnant?","0;1;888","0=No; 1=Yes; 888=Refused",""
"preg_prevent_yn","Integer","","Recommended","Do you know any methods of preventing pregnancy?","0;1;888","0=No; 1=Yes; 888=Refused",""
"ever_pregnant","Integer","","Recommended","Ever been pregnant/made a partner pregnant","0;1","0=No; 1=Yes",""
"relship_now_yn","Integer","","Recommended","Do you currently have a boyfriend/girlfriend, or are you in a romantic relationship?","0;1","0=No; 1=Yes",""
"relship_3mo_yn","Integer","","Recommended","In the past 3 months, have you had a boyfriend/girlfriend or been in a romantic relationship?","0;1;888","0=No; 1=Yes; 888=Refused",""
